,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Match Type,Date,Player ID
133,34,53,47,7,0,72.34,2,bowled,2,West Indies,Kanpur,ODI ,30-10-1994,1
134,62,80,54,13,0,114.81,2,bowled,1,New Zealand,Delhi,ODI ,03-11-1994,1
135,66,101,68,8,0,97.05,2,caught,1,West Indies,Eden Gardens,ODI ,05-11-1994,1
136,54,130,64,5,0,84.37,2,caught,1,West Indies,Visakhapatnam,ODI ,07-11-1994,1
137,88,147,112,10,0,78.57,2,bowled,2,West Indies,Cuttack,ODI ,09-11-1994,1
138,105,180,134,10,0,78.35,2,caught,1,West Indies,Jaipur,ODI ,11-11-1994,1
139,34,70,43,7,0,79.06,4,lbw,1,West Indies,Wankhede,Test ,18-11-1994,1
140,85,178,130,10,1,65.38,5,caught,3,West Indies,Wankhede,Test ,18-11-1994,1
141,179,414,322,24,1,55.59,4,caught,1,West Indies,Nagpur,Test ,01-12-1994,1
142,54,180,138,3,0,39.13,4,caught,3,West Indies,Nagpur,Test ,01-12-1994,1
143,40,72,55,9,0,72.72,4,caught,2,West Indies,Mohali,Test ,10-12-1994,1
144,10,38,24,2,0,41.66,4,caught,4,West Indies,Mohali,Test ,10-12-1994,1
145,13,30,15,3,0,86.66,2,caught,1,New Zealand,Napier,ODI ,16-02-1995,1
146,37,75,51,3,1,72.54,2,caught,2,South Africa,Hamilton,ODI ,18-02-1995,1
147,47,65,40,7,0,117.5,2,caught,2,Australia,Dunedin,ODI ,22-02-1995,1
148,48,37,30,9,1,160,2,bowled,2,Bangladesh,Sharjah,ODI ,05-04-1995,1
149,4,13,9,1,0,44.44,2,caught,2,Pakistan,Sharjah,ODI ,07-04-1995,1
150,112,137,107,15,1,104.67,2,not out,2,Sri Lanka,Sharjah,ODI ,09-04-1995,1
151,41,51,41,5,0,100,2,caught,2,Sri Lanka,Sharjah,ODI ,14-04-1995,1
152,4,7,4,1,0,100,4,caught,2,New Zealand,Bengaluru,Test ,18-10-1995,1
153,0,3,0,0,0,-,4,not out,4,New Zealand,Bengaluru,Test ,18-10-1995,1
154,52,98,88,5,0,59.09,4,not out,1,New Zealand,Chennai,Test ,25-10-1995,1
155,2,8,8,0,0,25,4,bowled,1,New Zealand,Cuttack,Test ,08-11-1995,1
156,30,30,20,5,0,150,2,caught,1,New Zealand,Jamshedpur,ODI ,15-11-1995,1
157,39,79,51,4,0,76.47,2,caught,2,New Zealand,Amritsar,ODI ,18-11-1995,1
158,7,27,11,1,0,63.63,2,caught,2,New Zealand,Pune,ODI ,24-11-1995,1
159,65,96,59,9,1,110.16,2,run out,2,New Zealand,Nagpur,ODI ,26-11-1995,1
160,1,14,4,0,0,25,2,bowled,2,New Zealand,Brabourne,ODI ,29-11-1995,1
161,127,175,138,15,1,92.02,2,not out,2,Kenya,Cuttack,ODI ,18-02-1996,1
162,70,137,91,8,0,76.92,2,run out,2,West Indies,Gwalior,ODI ,21-02-1996,1
163,90,124,84,14,1,107.14,2,stumped,2,Australia,Wankhede,ODI ,27-02-1996,1
164,137,198,137,8,5,100,2,run out,1,Sri Lanka,Delhi,ODI ,02-03-1996,1
165,3,10,12,0,0,25,1,bowled,1,Zimbabwe,Kanpur,ODI ,06-03-1996,1
166,31,103,59,3,0,52.54,2,bowled,1,Pakistan,Bengaluru,ODI ,09-03-1996,1
167,65,96,88,9,0,73.86,1,stumped,2,Sri Lanka,Eden Gardens,ODI ,13-03-1996,1
168,28,-,31,3,1,90.32,1,caught,1,Sri Lanka,Singapore,ODI ,03-04-1996,1
169,100,-,111,9,1,90.09,2,stumped,1,Pakistan,Singapore,ODI ,05-04-1996,1
170,1,-,5,0,0,20,2,caught,2,Pakistan,Sharjah,ODI ,12-04-1996,1
171,2,23,15,0,0,13.33,2,caught,2,South Africa,Sharjah,ODI ,14-04-1996,1
172,118,-,140,8,2,84.28,2,caught,1,Pakistan,Sharjah,ODI ,15-04-1996,1
173,17,32,26,2,0,65.38,2,caught,1,South Africa,Sharjah,ODI ,17-04-1996,1
174,57,104,71,6,0,80.28,2,run out,2,South Africa,Sharjah,ODI ,19-04-1996,1
175,30,30,19,5,1,157.89,2,lbw,2,England,The Oval,ODI ,23-05-1996,1
176,6,26,19,0,0,31.57,2,run out,1,England,Leeds,ODI ,25-05-1996,1
177,1,18,11,0,0,9.09,2,caught,1,England,Manchester,ODI ,26-05-1996,1
178,24,71,41,4,0,58.53,4,bowled,1,England,Birmingham,Test ,06-06-1996,1
179,122,263,177,19,1,68.92,4,caught,3,England,Birmingham,Test ,06-06-1996,1
180,31,81,59,5,0,52.54,4,bowled,2,England,Lord's,Test ,20-06-1996,1
181,177,462,360,26,0,49.16,4,caught,1,England,Nottingham,Test ,04-07-1996,1
182,74,111,97,11,1,76.28,4,caught,3,England,Nottingham,Test ,04-07-1996,1
183,110,-,138,5,1,79.71,2,run out,1,Sri Lanka,Colombo (RPS),ODI ,28-08-1996,1
184,40,60,46,8,0,86.95,2,caught,2,Zimbabwe,Colombo (SSC),ODI ,01-09-1996,1
185,7,24,11,1,0,63.63,2,caught,1,Australia,Colombo (SSC),ODI ,06-09-1996,1
186,89,-,89,9,3,100,2,not out,2,Pakistan,Toronto,ODI ,16-09-1996,1
187,20,-,23,3,0,86.95,2,caught,1,Pakistan,Toronto,ODI ,17-09-1996,1
188,2,-,13,0,0,15.38,2,caught,1,Pakistan,Toronto,ODI ,18-09-1996,1
189,3,-,9,0,0,33.33,2,caught,2,Pakistan,Toronto,ODI ,21-09-1996,1
190,23,-,44,0,1,52.27,2,run out,2,Pakistan,Toronto,ODI ,23-09-1996,1
191,10,12,11,2,0,90.9,4,caught,2,Australia,Delhi,Test ,10-10-1996,1
192,0,6,7,0,0,0,4,bowled,4,Australia,Delhi,Test ,10-10-1996,1
193,11,20,8,2,0,137.5,2,caught,2,South Africa,Hyderabad (Deccan),ODI ,17-10-1996,1
194,88,189,111,9,0,79.27,2,lbw,2,Australia,Bengaluru,ODI ,21-10-1996,1
195,64,133,93,3,0,68.81,2,caught,2,South Africa,Jaipur,ODI ,23-10-1996,1
196,28,55,38,5,0,73.68,1,lbw,1,South Africa,Rajkot,ODI ,29-10-1996,1
197,62,-,61,8,0,101.63,1,caught,1,Australia,Mohali,ODI ,03-11-1996,1
198,67,128,88,6,0,76.13,2,caught,1,South Africa,Wankhede,ODI ,06-11-1996,1
199,42,80,64,7,0,65.62,4,caught,1,South Africa,Ahmedabad,Test ,20-11-1996,1
200,7,43,33,1,0,21.21,4,caught,3,South Africa,Ahmedabad,Test ,20-11-1996,1
201,18,91,62,3,0,29.03,4,bowled,2,South Africa,Eden Gardens,Test ,27-11-1996,1
202,2,28,25,0,0,8,4,caught,4,South Africa,Eden Gardens,Test ,27-11-1996,1
203,61,211,173,4,1,35.26,4,caught,1,South Africa,Kanpur,Test ,08-12-1996,1
204,36,129,98,4,0,36.73,5,caught,3,South Africa,Kanpur,Test ,08-12-1996,1
205,114,157,126,14,0,90.47,1,stumped,1,South Africa,Wankhede,ODI ,14-12-1996,1
206,15,58,45,2,0,33.33,4,bowled,2,South Africa,Durban,Test ,26-12-1996,1
207,4,32,25,1,0,16,4,caught,4,South Africa,Durban,Test ,26-12-1996,1
208,169,329,254,26,0,66.53,5,caught,2,South Africa,Cape Town,Test ,02-01-1997,1
209,9,38,28,1,0,32.14,5,caught,4,South Africa,Cape Town,Test ,02-01-1997,1
210,35,72,55,7,0,63.63,4,caught,1,South Africa,Johannesburg,Test ,16-01-1997,1
211,9,13,11,2,0,81.81,4,caught,3,South Africa,Johannesburg,Test ,16-01-1997,1
212,0,12,4,0,0,0,2,bowled,2,South Africa,Bloemfontein,ODI ,23-01-1997,1
213,6,8,8,1,0,75,1,caught,2,Zimbabwe,Paarl,ODI ,27-01-1997,1
214,1,14,14,0,0,7.14,4,bowled,1,South Africa,Gqeberha,ODI ,02-02-1997,1
215,14,34,24,2,0,58.33,3,caught,1,South Africa,East London,ODI ,04-02-1997,1
216,41,81,56,1,1,73.21,4,caught,1,Zimbabwe,Centurion,ODI ,07-02-1997,1
217,104,121,97,8,1,107.21,2,caught,2,Zimbabwe,Benoni,ODI ,09-02-1997,1
218,32,55,27,6,0,118.51,2,caught,1,South Africa,Durban,ODI ,12-02-1997,1
219,45,48,33,7,1,136.36,2,caught,2,South Africa,Durban,ODI ,13-02-1997,1
220,13,18,15,0,1,86.66,2,caught,1,Zimbabwe,Bulawayo,ODI ,15-02-1997,1
221,7,40,30,1,0,23.33,4,bowled,2,West Indies,Kingston,Test ,06-03-1997,1
222,15,43,36,1,0,41.66,4,not out,4,West Indies,Kingston,Test ,06-03-1997,1
223,88,306,233,9,0,37.76,4,run out,2,West Indies,Port of Spain,Test ,14-03-1997,1
224,92,222,147,14,1,62.58,4,caught,2,West Indies,Bridgetown,Test ,27-03-1997,1
225,4,25,14,0,0,28.57,4,caught,4,West Indies,Bridgetown,Test ,27-03-1997,1
227,83,287,231,9,0,35.93,4,caught,1,West Indies,Georgetown,Test ,17-04-1997,1
228,44,57,43,10,0,102.32,1,caught,1,West Indies,Port of Spain,ODI ,26-04-1997,1
229,65,111,70,7,0,92.85,1,not out,2,West Indies,Port of Spain,ODI ,27-04-1997,1
230,9,22,15,1,0,60,1,bowled,2,West Indies,Kingstown,ODI ,30-04-1997,1
231,1,17,11,0,0,9.09,1,caught,1,West Indies,Bridgetown,ODI ,03-05-1997,1
232,117,188,137,13,2,85.4,2,bowled,2,New Zealand,Bengaluru,ODI ,14-05-1997,1
233,2,19,4,0,0,50,2,caught,1,Sri Lanka,Wankhede,ODI ,17-05-1997,1
234,4,10,7,1,0,57.14,1,caught,2,Pakistan,Chennai,ODI ,21-05-1997,1
235,21,49,28,3,0,75,1,bowled,1,Sri Lanka,Colombo (RPS),ODI ,18-07-1997,1
237,28,36,21,5,0,133.33,2,bowled,2,Bangladesh,Colombo (SSC),ODI ,24-07-1997,1
238,53,109,67,2,0,79.1,4,caught,1,Sri Lanka,Colombo (RPS),ODI ,26-07-1997,1
239,143,292,247,20,0,57.89,4,caught,1,Sri Lanka,Colombo (RPS),Test ,02-08-1997,1
240,139,397,266,16,0,52.25,4,caught,2,Sri Lanka,Colombo (SSC),Test ,09-08-1997,1
241,8,43,44,1,0,18.18,4,caught,4,Sri Lanka,Colombo (SSC),Test ,09-08-1997,1
242,27,55,28,3,0,96.42,1,caught,2,Sri Lanka,Colombo (RPS),ODI ,17-08-1997,1
243,6,4,6,1,0,100,1,lbw,1,Sri Lanka,Colombo (RPS),ODI ,20-08-1997,1
244,27,47,31,4,0,87.09,2,caught,1,Sri Lanka,Colombo (SSC),ODI ,23-08-1997,1
245,39,41,32,3,2,121.87,1,caught,2,Sri Lanka,Colombo (SSC),ODI ,24-08-1997,1
246,17,82,54,2,0,31.48,1,caught,1,Pakistan,Toronto,ODI ,13-09-1997,1
247,25,66,45,3,0,55.55,4,not out,2,Pakistan,Toronto,ODI ,14-09-1997,1
249,0,26,10,0,0,0,4,caught,1,Pakistan,Toronto,ODI ,18-09-1997,1
250,6,10,7,1,0,85.71,1,caught,2,Pakistan,Toronto,ODI ,20-09-1997,1
251,51,106,64,4,1,79.68,1,lbw,1,Pakistan,Toronto,ODI ,21-09-1997,1
252,2,17,11,0,0,18.18,1,bowled,1,Pakistan,Hyderabad (Sind),ODI ,28-09-1997,1
253,21,24,18,2,1,116.66,1,caught,2,Pakistan,Karachi,ODI ,30-09-1997,1
254,7,19,11,1,0,63.63,1,caught,1,Pakistan,Lahore,ODI ,02-10-1997,1
255,23,129,93,2,0,24.73,4,caught,2,Sri Lanka,Mohali,Test ,19-11-1997,1
256,15,38,20,1,1,75,4,bowled,1,Sri Lanka,Nagpur,Test ,26-11-1997,1
257,148,320,244,20,3,60.65,5,bowled,1,Sri Lanka,Wankhede,Test ,03-12-1997,1
258,13,28,16,1,0,81.25,4,caught,3,Sri Lanka,Wankhede,Test ,03-12-1997,1
259,91,146,87,4,2,104.59,4,stumped,2,England,Sharjah,ODI ,11-12-1997,1
260,3,4,4,0,0,75,5,caught,1,Pakistan,Sharjah,ODI ,14-12-1997,1
261,1,3,2,0,0,50,4,run out,2,West Indies,Sharjah,ODI ,16-12-1997,1
262,82,110,86,6,0,95.34,4,not out,2,Sri Lanka,Guwahati,ODI ,22-12-1997,1
264,6,23,13,0,0,46.15,3,caught,1,Sri Lanka,Margao,ODI ,28-12-1997,1
265,54,104,76,4,0,71.05,4,caught,2,Bangladesh,Dhaka,ODI ,10-01-1998,1
266,67,-,44,11,0,152.27,2,stumped,1,Pakistan,Dhaka,ODI ,11-01-1998,1
267,95,104,78,6,5,121.79,2,bowled,2,Pakistan,Dhaka,ODI ,14-01-1998,1
268,1,14,6,0,0,16.66,2,bowled,1,Pakistan,Dhaka,ODI ,16-01-1998,1
269,41,-,26,7,1,157.69,2,caught,2,Pakistan,Dhaka,ODI ,18-01-1998,1
270,4,7,5,1,0,80,4,caught,1,Australia,Chennai,Test ,06-03-1998,1
271,155,286,191,14,4,81.15,4,not out,3,Australia,Chennai,Test ,06-03-1998,1
272,79,109,86,12,2,91.86,4,caught,2,Australia,Eden Gardens,Test ,18-03-1998,1
273,177,298,207,29,3,85.5,4,bowled,1,Australia,Bengaluru,Test ,25-03-1998,1
274,31,75,64,4,0,48.43,4,caught,3,Australia,Bengaluru,Test ,25-03-1998,1
275,8,21,11,1,0,72.72,2,caught,1,Australia,Kochi,ODI ,01-04-1998,1
276,5,44,17,0,0,29.41,2,run out,1,Zimbabwe,Vadodara,ODI ,05-04-1998,1
277,100,132,89,5,7,112.35,2,caught,2,Australia,Kanpur,ODI ,07-04-1998,1
278,1,18,2,0,0,50,2,caught,1,Zimbabwe,Cuttack,ODI ,09-04-1998,1
279,15,45,24,2,0,62.5,2,caught,1,Australia,Delhi,ODI ,14-04-1998,1
280,40,62,41,5,1,97.56,1,caught,1,New Zealand,Sharjah,ODI ,17-04-1998,1
281,80,136,72,9,0,111.11,2,caught,2,Australia,Sharjah,ODI ,19-04-1998,1
282,38,93,58,2,0,65.51,1,run out,1,New Zealand,Sharjah,ODI ,20-04-1998,1
283,143,187,131,9,5,109.16,2,caught,2,Australia,Sharjah,ODI ,22-04-1998,1
284,134,195,131,12,3,102.29,2,lbw,2,Australia,Sharjah,ODI ,24-04-1998,1
285,33,48,29,6,0,113.79,2,caught,2,Bangladesh,Wankhede,ODI ,25-05-1998,1
286,18,33,25,2,0,72,2,caught,2,Kenya,Gwalior,ODI ,28-05-1998,1
287,100,156,103,13,0,97.08,2,not out,2,Kenya,Eden Gardens,ODI ,31-05-1998,1
288,65,79,50,9,0,130,2,caught,2,Sri Lanka,Colombo (RPS),ODI ,19-06-1998,1
289,53,43,36,3,3,147.22,2,caught,2,New Zealand,Colombo (RPS),ODI ,23-06-1998,1
290,17,28,16,4,0,106.25,2,caught,2,Sri Lanka,Colombo (SSC),ODI ,01-07-1998,1
292,128,182,131,8,2,97.7,2,stumped,1,Sri Lanka,Colombo (RPS),ODI ,07-07-1998,1
293,77,157,109,9,0,70.64,2,caught,1,Pakistan,Toronto,ODI ,20-09-1998,1
294,127,155,130,13,1,97.69,2,not out,2,Zimbabwe,Bulawayo,ODI ,26-09-1998,1
295,29,33,21,4,1,138.09,1,caught,2,Zimbabwe,Bulawayo,ODI ,27-09-1998,1
296,2,7,6,0,0,33.33,2,caught,2,Zimbabwe,Harare,ODI ,30-09-1998,1
297,34,103,68,3,0,50,5,caught,2,Zimbabwe,Harare,Test ,07-10-1998,1
