,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Match Type,Date,Player ID
351,92,148,107,8,0,85.98,3,bowled,1, Australia,Eden Gardens,ODI ,21-09-2017,2
352,28,58,35,2,0,80,3,caught,2, Australia,Indore,ODI ,24-09-2017,2
353,21,23,21,3,0,100,3,bowled,2, Australia,Bengaluru,ODI ,28-09-2017,2
354,39,73,55,2,0,70.9,3,caught,2, Australia,Nagpur,ODI ,01-10-2017,2
355,22,19,14,3,0,157.14,3,not out,2, Australia,Ranchi,T20I ,07-10-2017,2
356,0,2,2,0,0,0,3,caught,1, Australia,Guwahati,T20I ,10-10-2017,2
357,121,203,125,9,2,96.8,3,caught,1, New Zealand,Wankhede,ODI ,22-10-2017,2
358,29,40,29,3,1,100,3,caught,2, New Zealand,Pune,ODI ,25-10-2017,2
359,113,166,106,9,1,106.6,3,caught,1, New Zealand,Kanpur,ODI ,29-10-2017,2
360,26,19,11,0,3,236.36,4,not out,1, New Zealand,Delhi,T20I ,01-11-2017,2
361,65,59,42,8,1,154.76,4,caught,2, New Zealand,Rajkot,T20I ,04-11-2017,2
362,13,6,6,1,1,216.66,3,caught,1, New Zealand,Thiruvananthapuram,T20I ,07-11-2017,2
363,0,18,11,0,0,0,4,lbw,1, Sri Lanka,Eden Gardens,Test ,16-11-2017,2
364,104,208,119,12,2,87.39,4,not out,3, Sri Lanka,Eden Gardens,Test ,16-11-2017,2
365,213,386,267,17,2,79.77,4,caught,2, Sri Lanka,Nagpur,Test ,24-11-2017,2
366,243,447,287,25,0,84.66,4,lbw,1, Sri Lanka,Delhi,Test ,02-12-2017,2
367,50,89,58,3,0,86.2,5,caught,3, Sri Lanka,Delhi,Test ,02-12-2017,2
368,5,14,13,0,0,38.46,4,caught,2, South Africa,Cape Town,Test ,05-01-2018,2
369,28,62,40,4,0,70,4,lbw,4, South Africa,Cape Town,Test ,05-01-2018,2
370,153,379,217,15,0,70.5,4,caught,2, South Africa,Centurion,Test ,13-01-2018,2
